,,,,family,,,Uniprot,
PF12698,ABC-2 family transporter protein,pfam,family,IPR013525,-,-,O94911,1621
PF16182,Putative adherens-junction anchoring region of AbLIM,pfam,family,IPR032402,-,-,O94929,683
PF13369,Transglutaminase-like superfamily,pfam,family,IPR032698,-,-,O94952,628
PF00443,Ubiquitin carboxyl-terminal hydrolase,pfam,family,IPR001394,-,-,O94966,1318
PF02296,"Alpha adaptin AP2, C-terminal domain",pfam,family,IPR003164,-,-,O94973,939
PF19699,Calsyntenin C-terminal,pfam,family,IPR045588,-,-,O94985,981
PF09782,"NADH:ubiquinone oxidoreductase, NDUFB6/B17 subunit",pfam,family,IPR019174,-,-,O95139,128
PF04799,fzo-like conserved region,pfam,family,IPR006884,-,-,O95140,757
PF10408,Ubiquitin elongating factor core,pfam,family,IPR019474,-,-,O95155,1302
PF06312,Neurexophilin,pfam,family,IPR026845,-,-,O95156,264
PF14987,NADH dehydrogenase 1 alpha subcomplex subunit 3,pfam,family,IPR026626,-,-,O95167,84
PF07225,NADH-ubiquinone oxidoreductase B15 subunit (NDUFB4),pfam,family,IPR009866,-,-,O95168,129
PF05821,NADH-ubiquinone oxidoreductase ASHI subunit (CI-ASHI or NDUFB8),pfam,family,IPR008699,-,-,O95169,186
PF07347,NADH:ubiquinone oxidoreductase subunit B14.5a (Complex I-B14.5a),pfam,family,IPR009947,-,-,O95182,113
PF00957,Synaptobrevin,pfam,family,IPR042855,-,-,O95183,116
PF00791,ZU5 domain,pfam,family,IPR000906,-,-,O95185,931
PF06567,Neural chondroitin sulphate proteoglycan cytoplasmic domain,pfam,family,IPR009505,-,-,O95196,566
PF02453,Reticulon,pfam,family,IPR003388,-,-,O95197,1032
PF00686,Starch binding domain,pfam,family,IPR002044,-,-,O95210,358
PF03194,LUC7 N_terminus,pfam,family,IPR004882,-,-,O95232,432
PF02141,DENN (AEX-3) domain,pfam,family,IPR001194,-,-,O95248,1868
PF12335,Myotubularin protein,pfam,family,IPR022096,-,-,O95248,1868
PF00520,Ion transport protein,pfam,family,IPR005821,-,-,O95259,989
PF04376,"Arginine-tRNA-protein transferase, N terminus",pfam,family,IPR007471,-,-,O95260,518
PF04377,"Arginine-tRNA-protein transferase, C terminus",pfam,family,IPR007472,-,-,O95260,518
PF08629,PDE8 phosphodiesterase,pfam,family,IPR013938,-,-,O95263,885
PF00686,Starch binding domain,pfam,family,IPR002044,-,-,O95278,331
PF00616,GTPase-activator protein for Ras-like GTPase,pfam,family,IPR001936,-,-,O95294,804
PF14712,Snapin/Pallidin,pfam,family,IPR028119,-,-,O95295,136
PF06374,NADH-ubiquinone oxidoreductase subunit b14.5b (NDUFC2),pfam,family,IPR009423,-,-,O95298,119
PF00617,RasGEF domain,pfam,family,IPR001895,-,-,O95398,923
PF11409,Smad anchor for receptor activation (SARA),pfam,family,IPR024608,-,-,O95405,1425
PF02179,BAG domain,pfam,family,IPR003103,-,-,O95429,457
PF08327,Activator of Hsp90 ATPase homolog 1-like protein,pfam,family,IPR013538,-,-,O95433,338
PF16094,Proteasome assembly chaperone 4,pfam,family,IPR016565,-,-,O95456,288
PF02181,Formin Homology 2 Domain,pfam,family,IPR015425,-,-,O95466,1100
PF00002,7 transmembrane receptor (Secretin family),pfam,family,IPR000832,-,-,O95490,1459
PF02354,Latrophilin Cytoplasmic C-terminal region,pfam,family,IPR003334,-,-,O95490,1459
PF02793,Hormone receptor domain,pfam,family,IPR001879,-,-,O95490,1459
PF00501,AMP-binding enzyme,pfam,family,IPR000873,-,-,O95573,720
PF06327,"Adenylate cyclase, conserved domain",pfam,family,IPR009398,-,-,O95622,1261
PF16214,Adenylyl cyclase N-terminal extracellular and transmembrane region,pfam,family,IPR032628,-,-,O95622,1261
PF01398,JAB1/Mov34/MPN/PAD-1 ubiquitin protease,pfam,family,IPR000555,-,-,O95630,424
PF01148,Cytidylyltransferase family,pfam,family,-,-,-,O95674,445
PF07002,Copine,pfam,family,IPR010734,-,-,O95741,557
PF00012,Hsp70 protein,pfam,family,IPR013126,-,-,O95757,839
PF02296,"Alpha adaptin AP2, C-terminal domain",pfam,family,IPR003164,-,-,O95782,977
PF15237,PTRF/SDPR family,pfam,family,IPR026752,-,-,O95810,425
PF02179,BAG domain,pfam,family,IPR003103,-,-,O95817,575
PF00335,Tetraspanin family,pfam,family,IPR018499,-,-,O95858,294
PF00459,Inositol monophosphatase family,pfam,family,IPR000760,-,-,O95861,308
PF03359,Guanylate-kinase-associated protein (GKAP) protein,pfam,family,IPR005026,-,-,O95886,979
PF12308,Neurogenesis glycoprotein,pfam,family,IPR022082,-,-,O95897,454
PF10249,NADH-ubiquinone oxidoreductase subunit 10,pfam,family,IPR019377,-,-,O96000,172
PF05602,Cleft lip and palate transmembrane protein 1 (CLPTM1),pfam,family,IPR008429,-,-,O96005,669
PF02391,MoaE protein,pfam,family,IPR003448,-,-,O96007,188
PF01459,Eukaryotic porin,pfam,family,IPR027246,-,-,O96008,361
PF02064,MAS20 protein import receptor,pfam,family,IPR002056,-,-,O96008,361
PF04281,Mitochondrial import receptor subunit Tom22,pfam,family,IPR005683,-,-,O96008,361
PF08038,TOM7 family,pfam,family,IPR012621,-,-,O96008,361
PF10642,Mitochondrial import receptor subunit or translocase,pfam,family,IPR019603,-,-,O96008,361
PF15184,Mitochondrial import receptor subunit TOM6 homolog,pfam,family,IPR029182,-,-,O96008,361
PF05648,Peroxisomal biogenesis factor 11 (PEX11),pfam,family,IPR008733,-,-,O96011,259
PF15342,FAM212 family,pfam,family,IPR029267,-,-,O96013,591
PF00022,Actin,pfam,family,IPR004000,-,-,O96019,429
PF00171,Aldehyde dehydrogenase family,pfam,family,IPR015590,-,-,P00352,501
PF00115,Cytochrome C and Quinol oxidase polypeptide I,pfam,family,IPR000883,-,-,P00395,513
PF02790,"Cytochrome C oxidase subunit II, transmembrane domain",pfam,family,IPR011759,-,-,P00403,227
PF01841,Transglutaminase-like superfamily,pfam,family,IPR002931,-,-,P00488,732
PF00207,Alpha-2-macroglobulin family,pfam,family,IPR001599,-,-,P01023,1474
PF00207,Alpha-2-macroglobulin family,pfam,family,IPR001599,-,-,P01024,1663
PF00207,Alpha-2-macroglobulin family,pfam,family,IPR001599,-,-,P01031,1676
PF01160,Vertebrate endogenous opioids neuropeptide,pfam,family,IPR006024,-,-,P01210,267
PF01160,Vertebrate endogenous opioids neuropeptide,pfam,family,IPR006024,-,-,P01213,254
PF00159,Pancreatic hormone peptide,pfam,family,IPR001955,-,-,P01303,97
PF15097,Immunoglobulin J chain,pfam,family,IPR024110,-,-,P01591,159
PF16164,VWA N-terminal,pfam,family,IPR032361,-,-,P01857,399
PF06623,MHC_I C-terminus,pfam,family,IPR010579,-,-,P01893,362
PF01410,Fibrillar collagen C-terminal domain,pfam,family,IPR000885,-,-,P02452,1464
PF01601,Coronavirus spike glycoprotein S2,pfam,family,IPR002552,-,-,P02452,1464
PF00525,"Alpha crystallin A chain, N terminal",pfam,family,IPR003090,-,-,P02511,175
PF16208,Keratin type II head,pfam,family,IPR032444,-,-,P02538,564
PF03271,EB1-like C-terminal motif,pfam,family,IPR004953,-,-,P02545,664
PF11418,Phi29 scaffolding protein,pfam,family,IPR024374,-,-,P02545,664
PF01547,Bacterial extracellular solute-binding protein,pfam,family,IPR006059,-,-,P02649,317
PF04711,Apolipoprotein A-II (ApoA-II),pfam,family,IPR006801,-,-,P02652,100
PF04691,Apolipoprotein C-I (ApoC-1),pfam,family,IPR006781,-,-,P02654,83
PF05778,Apolipoprotein CIII (Apo-CIII),pfam,family,IPR008403,-,-,P02656,99
PF01669,Myelin basic protein,pfam,family,IPR000548,-,-,P02686,304
PF00955,HCO3- transporter family,pfam,family,IPR011531,-,-,P02730,911
PF02225,PA domain,pfam,family,IPR003137,-,-,P02786,760
PF04389,Peptidase family M28,pfam,family,IPR007484,-,-,P02786,760
PF00146,NADH dehydrogenase,pfam,family,IPR001694,-,-,P03886,318
PF00361,Proton-conducting membrane transporter,pfam,family,IPR001750,-,-,P03905,459
PF01059,"NADH-ubiquinone oxidoreductase chain 4, amino terminus",pfam,family,IPR000260,-,-,P03905,459
PF00361,Proton-conducting membrane transporter,pfam,family,IPR001750,-,-,P03915,603
PF00662,"NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminus",pfam,family,IPR001516,-,-,P03915,603
PF06455,NADH dehydrogenase subunit 5 C-terminus,pfam,family,IPR010934,-,-,P03915,603
PF00895,ATP synthase protein 8,pfam,family,IPR001421,-,-,P03928,68
PF01033,Somatomedin B domain,pfam,family,IPR001212,-,-,P04004,478
PF06628,Catalase-related immune-responsive,pfam,family,IPR010582,-,-,P04040,527
PF11587,Major prion protein bPrPp - N terminal,pfam,family,IPR025860,-,-,P04156,253
PF16208,Keratin type II head,pfam,family,IPR032444,-,-,P04264,644
PF01794,Ferric reductase like transmembrane component,pfam,family,IPR013130,-,-,P04839,570
PF04597,Ribophorin I,pfam,family,IPR007676,-,-,P04843,607
PF05817,Oligosaccharyltransferase subunit Ribophorin II,pfam,family,IPR008814,-,-,P04844,631
PF00122,E1-E2 ATPase,pfam,family,-,-,-,P05023,1023
PF00689,"Cation transporting ATPase, C-terminus",pfam,family,IPR006068,-,-,P05023,1023
PF13246,Cation transport ATPase (P-type),pfam,family,-,-,-,P05023,1023
PF00287,Sodium / potassium ATPase beta chain,pfam,family,IPR000402,-,-,P05026,303
PF01271,Granin (chromogranin or secretogranin),pfam,family,IPR001990,-,-,P05060,677
PF03494,Beta-amyloid peptide (beta-APP),pfam,family,IPR013803,-,-,P05067,770
PF10515,Beta-amyloid precursor protein C-terminus,pfam,family,IPR019543,-,-,P05067,770
PF00171,Aldehyde dehydrogenase family,pfam,family,IPR015590,-,-,P05091,517
PF01101,HMG14 and HMG17,pfam,family,IPR000079,-,-,P05114,100
PF00433,Protein kinase C terminal domain,pfam,family,IPR017892,-,-,P05129,697
PF01039,Carboxyl transferase domain,pfam,family,IPR034733,-,-,P05166,539
PF07541,Eukaryotic translation initiation factor 2 alpha subunit,pfam,family,IPR011488,-,-,P05198,315
PF00428,60s Acidic ribosomal protein,pfam,family,-,-,-,P05386,114
PF00428,60s Acidic ribosomal protein,pfam,family,-,-,-,P05387,115
PF00428,60s Acidic ribosomal protein,pfam,family,-,-,-,P05388,317
PF00466,Ribosomal protein L10,pfam,family,IPR001790,-,-,P05388,317
PF05281,Neuroendocrine protein 7B2 precursor (Secretogranin V),pfam,family,IPR007945,-,-,P05408,212
PF00137,ATP synthase subunit C,pfam,family,IPR002379,-,-,P05496,136
PF00433,Protein kinase C terminal domain,pfam,family,IPR017892,-,-,P05771,671
PF00918,Gastrin/cholecystokinin family,pfam,family,IPR001651,-,-,P06307,115
PF01290,Thymosin beta-4 family,pfam,family,IPR001152,-,-,P06396,782
PF02205,WH2 motif,pfam,family,IPR003124,-,-,P06396,782
PF03250,Tropomodulin,pfam,family,IPR004934,-,-,P06396,782
PF00343,Carbohydrate phosphorylase,pfam,family,IPR000811,-,-,P06737,847
PF00357,Integrin alpha cytoplasmic region,pfam,family,IPR018184,-,-,P06756,1048
PF04732,Intermediate filament head (DNA binding) region,pfam,family,IPR006821,-,-,P07196,543
PF04732,Intermediate filament head (DNA binding) region,pfam,family,IPR006821,-,-,P07197,916
PF00026,Eukaryotic aspartyl protease,pfam,family,IPR033121,-,-,P07339,412
PF00648,Calpain family cysteine protease,pfam,family,IPR001300,-,-,P07384,714
PF01462,Leucine rich repeat N-terminal domain,pfam,family,IPR000372,-,-,P07585,359
PF02199,Saposin A-type domain,pfam,family,IPR003119,-,-,P07602,524
PF03489,"Saposin-like type B, region 2",pfam,family,IPR008138,-,-,P07602,524
PF03497,Anthrax toxin LF subunit,pfam,family,IPR005165,-,-,P07737,140
PF00183,Hsp90 protein,pfam,family,IPR001404,-,-,P07900,732
PF02320,Ubiquinol-cytochrome C reductase hinge protein,pfam,family,IPR023184,-,-,P07919,91
PF05735,Thrombospondin C-terminal region,pfam,family,IPR008859,-,-,P07996,1170
PF10250,GDP-fucose protein O-fucosyltransferase,pfam,family,IPR019378,-,-,P07996,1170
PF01410,Fibrillar collagen C-terminal domain,pfam,family,IPR000885,-,-,P08123,1366
PF00664,ABC transporter transmembrane region,pfam,family,IPR011527,-,-,P08183,1280
PF16028,Solute carrier family 3 member 2 N-terminus,pfam,family,IPR031984,-,-,P08195,630
PF00183,Hsp90 protein,pfam,family,IPR001404,-,-,P08238,724
PF04086,"Signal recognition particle, alpha subunit, N-terminal",pfam,family,IPR007222,-,-,P08240,638
PF00676,Dehydrogenase E1 component,pfam,family,IPR001017,-,-,P08559,390
PF02167,Cytochrome C1 family,pfam,family,IPR002326,-,-,P08574,325
PF12453,Protein tyrosine phosphatase N terminal,pfam,family,IPR024739,-,-,P08575,1306
PF12567,Leukocyte receptor CD45,pfam,family,IPR016335,-,-,P08575,1306
PF12220,U1 small nuclear ribonucleoprotein of 70kDa MW N terminal,pfam,family,IPR022023,-,-,P08621,437
PF04732,Intermediate filament head (DNA binding) region,pfam,family,IPR006821,-,-,P08670,466
PF00833,Ribosomal S17,pfam,family,IPR001210,-,-,P08708,135
PF00884,Sulfatase,pfam,family,IPR000917,-,-,P08842,583
PF00318,Ribosomal protein S2,pfam,family,IPR001865,-,-,P08865,295
PF01015,Ribosomal S3Ae family,pfam,family,IPR001593,-,-,P08865,295
PF16122,40S ribosomal protein SA C-terminus,pfam,family,IPR032281,-,-,P08865,295
PF00335,Tetraspanin family,pfam,family,IPR018499,-,-,P08962,238
PF00297,Ribosomal protein L3,pfam,family,IPR000597,-,-,P09001,348
PF01922,SRP19 protein,pfam,family,IPR002778,-,-,P09132,144
PF03271,EB1-like C-terminal motif,pfam,family,IPR004953,-,-,P09493,284
PF01086,Clathrin light chain,pfam,family,IPR000996,-,-,P09496,248
PF01086,Clathrin light chain,pfam,family,IPR000996,-,-,P09497,229
PF05881,"2',3'-cyclic nucleotide 3'-phosphodiesterase (CNP or CNPase)",pfam,family,IPR047325,-,-,P09543,421
PF02937,Cytochrome c oxidase subunit VIc,pfam,family,IPR034884,-,-,P09669,75
PF00533,BRCA1 C Terminus (BRCT) domain,pfam,family,IPR001357,-,-,P09874,1014
PF00644,Poly(ADP-ribose) polymerase catalytic domain,pfam,family,IPR012317,-,-,P09874,1014
PF00207,Alpha-2-macroglobulin family,pfam,family,IPR001599,-,-,P0C0L4,1744
PF00207,Alpha-2-macroglobulin family,pfam,family,IPR001599,-,-,P0C0L5,1744
PF16211,C-terminus of histone H2A,pfam,family,IPR032454,-,-,P0C0S5,128
PF12430,Abscisic acid G-protein coupled receptor,pfam,family,IPR025969,-,-,B7ZAQ6,455
PF12537,The Golgi pH Regulator (GPHR) Family N-terminal,pfam,family,IPR022535,-,-,B7ZAQ6,455
PF12430,Abscisic acid G-protein coupled receptor,pfam,family,IPR025969,-,-,P0CG08,455
PF12537,The Golgi pH Regulator (GPHR) Family N-terminal,pfam,family,IPR022535,-,-,P0CG08,455
PF04628,"Sedlin, N-terminal conserved region",pfam,family,IPR006722,-,-,P0DI81,140
PF04628,"Sedlin, N-terminal conserved region",pfam,family,IPR006722,-,-,P0DI82,140
PF15938,Domain of unknown function (DUF4750),pfam,family,IPR031851,-,-,P0DJ93,91
PF00277,Serum amyloid A protein,pfam,family,IPR000096,-,-,P0DJI8,122
PF00277,Serum amyloid A protein,pfam,family,IPR000096,-,-,P0DJI9,122
PF00012,Hsp70 protein,pfam,family,IPR013126,-,-,P0DMV9,641
PF00012,Hsp70 protein,pfam,family,IPR013126,-,-,P0DMV8,641
PF00865,Osteopontin,pfam,family,IPR002038,-,-,P10451,314
PF02817,e3 binding domain,pfam,family,IPR004167,-,-,P10515,647
PF01124,MAPEG family,pfam,family,IPR001129,-,-,P10620,155
PF00418,"Tau and MAP protein, tubulin-binding repeat",pfam,family,IPR001084,-,-,P10636,758
PF01271,Granin (chromogranin or secretogranin),pfam,family,IPR001990,-,-,P10645,457
PF02602,Uroporphyrinogen-III synthase HemD,pfam,family,IPR003754,-,-,P10746,265
PF00118,TCP-1/cpn60 chaperonin family,pfam,family,IPR002423,-,-,P10809,573
PF01093,Clusterin,pfam,family,IPR000753,-,-,P10909,449
PF00012,Hsp70 protein,pfam,family,IPR013126,-,-,P11021,654
PF00328,Histidine phosphatase superfamily (branch 2),pfam,family,IPR000560,-,-,P11117,423
PF00418,"Tau and MAP protein, tubulin-binding repeat",pfam,family,IPR001084,-,-,P11137,1827
PF08377,MAP2/Tau projection domain,pfam,family,IPR013588,-,-,P11137,1827
PF00012,Hsp70 protein,pfam,family,IPR013126,-,-,P11142,646
PF00083,Sugar (and other) transporter,pfam,family,IPR005828,-,-,P11166,492
PF00083,Sugar (and other) transporter,pfam,family,IPR005828,-,-,P11169,496
PF04382,SAB domain,pfam,family,IPR007477,-,-,P11171,864
PF08736,FERM adjacent (FA),pfam,family,IPR014847,-,-,P11171,864
PF02817,e3 binding domain,pfam,family,IPR004167,-,-,P11182,482
PF00357,Integrin alpha cytoplasmic region,pfam,family,IPR018184,-,-,P11215,1152
PF00343,Carbohydrate phosphorylase,pfam,family,IPR000811,-,-,P11216,843
PF00343,Carbohydrate phosphorylase,pfam,family,IPR000811,-,-,P11217,842
PF00001,7 transmembrane receptor (rhodopsin family),pfam,family,IPR000276,-,-,P11229,460
PF01299,Lysosome-associated membrane glycoprotein (Lamp),pfam,family,IPR048528,-,-,P11279,417
PF02919,"Eukaryotic DNA topoisomerase I, DNA binding fragment",pfam,family,IPR008336,-,-,P11387,765
PF14370,C-terminal topoisomerase domain,pfam,family,IPR025834,-,-,P11387,765
PF01268,Formate--tetrahydrofolate ligase,pfam,family,IPR000559,-,-,P11586,935
PF00658,"Poly-adenylate binding protein, unique domain",pfam,family,IPR002004,-,-,P11940,636
PF01401,Angiotensin-converting enzyme,pfam,family,IPR001548,-,-,P12821,1306
PF03730,Ku70/Ku80 C-terminal arm,pfam,family,IPR005160,-,-,P12956,609
PF03730,Ku70/Ku80 C-terminal arm,pfam,family,IPR005160,-,-,P13010,732
PF02936,Cytochrome c oxidase subunit IV,pfam,family,IPR004203,-,-,P13073,169
PF03227,Gamma interferon inducible lysosomal thiol reductase (GILT),pfam,family,IPR004911,-,-,P13284,250
PF01299,Lysosome-associated membrane glycoprotein (Lamp),pfam,family,IPR048528,-,-,P13473,410
PF05038,Cytochrome Cytochrome b558 alpha-subunit,pfam,family,IPR007732,-,-,P13498,195
PF01271,Granin (chromogranin or secretogranin),pfam,family,IPR001990,-,-,P13521,617
PF00122,E1-E2 ATPase,pfam,family,-,-,-,P13637,1013
PF00689,"Cation transporting ATPase, C-terminus",pfam,family,IPR006068,-,-,P13637,1013
PF13246,Cation transport ATPase (P-type),pfam,family,-,-,-,P13637,1013
PF16208,Keratin type II head,pfam,family,IPR032444,-,-,P13647,590
PF08336,"Prolyl 4-Hydroxylase alpha-subunit, N-terminal region",pfam,family,IPR013547,-,-,P13674,534
PF01108,Tissue factor,pfam,family,IPR003961,-,-,P13726,295
PF19283,"Acylamino-acid-releasing enzyme, N-terminal domain",pfam,family,IPR045550,-,-,P13798,732
PF05693,Glycogen synthase,pfam,family,IPR008631,-,-,P13807,737
PF17683,"TFIIF, beta subunit N-terminus",pfam,family,IPR040504,-,-,P13984,249
PF04732,Intermediate filament head (DNA binding) region,pfam,family,IPR006821,-,-,P14136,432
PF12301,CD99 antigen like protein 2,pfam,family,IPR022078,-,-,P14209,185
PF12999,Glucosidase II beta subunit-like,pfam,family,IPR028146,-,-,P14314,528
PF13015,Glucosidase II beta subunit-like protein,pfam,family,IPR036607,-,-,P14314,528
PF02238,Cytochrome c oxidase subunit VII,pfam,family,IPR039297,-,-,P14406,83
PF00287,Sodium / potassium ATPase beta chain,pfam,family,IPR000402,-,-,P14415,290
PF06119,Nidogen-like,pfam,family,IPR003886,-,-,P14543,1247
PF00183,Hsp90 protein,pfam,family,IPR001404,-,-,P14625,803
PF00675,Insulinase (Peptidase family M16),pfam,family,IPR011765,-,-,P14735,1019
PF16187,Middle or third domain of peptidase_M16,pfam,family,IPR032632,-,-,P14735,1019
PF02931,Neurotransmitter-gated ion-channel ligand binding domain,pfam,family,IPR006202,-,-,P14867,456
PF02932,Neurotransmitter-gated ion-channel transmembrane region,pfam,family,IPR006029,-,-,P14867,456
PF02271,Ubiquinol-cytochrome C reductase complex 14kD subunit,pfam,family,IPR003197,-,-,P14927,111
PF00884,Sulfatase,pfam,family,IPR000917,-,-,P15289,507
PF00884,Sulfatase,pfam,family,IPR000917,-,-,P15586,552
PF00884,Sulfatase,pfam,family,IPR000917,-,-,P15848,533
PF02935,Cytochrome c oxidase subunit VIIc,pfam,family,IPR004202,-,-,P15954,63
PF16211,C-terminus of histone H2A,pfam,family,IPR032454,-,-,P16104,143
PF00791,ZU5 domain,pfam,family,IPR000906,-,-,P16157,1881
PF02173,pKID domain,pfam,family,IPR003102,-,-,P16220,327
PF00520,Ion transport protein,pfam,family,IPR005821,-,-,P16389,499
PF01841,Transglutaminase-like superfamily,pfam,family,IPR002931,-,-,P16452,691
PF01483,Proprotein convertase P-domain,pfam,family,IPR002884,-,-,P16519,638
PF00611,"Fes/CIP4, and EFC/F-BAR homology domain",pfam,family,IPR001060,-,-,P16591,822
PF00122,E1-E2 ATPase,pfam,family,-,-,-,P16615,1042
PF00689,"Cation transporting ATPase, C-terminus",pfam,family,IPR006068,-,-,P16615,1042
PF13246,Cation transport ATPase (P-type),pfam,family,-,-,-,P16615,1042
PF01557,Fumarylacetoacetate (FAA) hydrolase family,pfam,family,IPR011234,-,-,P16930,419
PF00836,Stathmin family,pfam,family,IPR000956,-,-,P16949,149
PF16499,Alpha galactosidase A,pfam,family,IPR002241,-,-,P17050,411
