,,,,domain,,,Uniprot,
PF00084,Sushi repeat (SCR repeat),pfam,domain,IPR000436,-,-,O14594,1321
PF00193,Extracellular link domain,pfam,domain,IPR000538,-,-,O14594,1321
PF07686,Immunoglobulin V-set domain,pfam,domain,IPR013106,-,-,O14594,1321
PF00786,P21-Rho-binding domain,pfam,domain,IPR000095,-,-,O14613,210
PF13774,Regulated-SNARE-like domain,pfam,domain,IPR010908,-,-,O14617,1153
PF00080,Copper/zinc superoxide dismutase (SODC),pfam,domain,IPR001424,-,-,O14618,274
PF00403,Heavy-metal-associated domain,pfam,domain,IPR006121,-,-,O14618,274
PF00412,LIM domain,pfam,domain,IPR001781,-,-,O14639,778
PF02209,Villin headpiece domain,pfam,domain,IPR003128,-,-,O14639,778
PF12352,Snare region anchored in the vesicle membrane C-terminus,pfam,domain,-,-,-,O14653,212
PF21376,"Torsin-1A, C-terminal domain",pfam,domain,IPR049337,-,-,O14656,332
PF00804,Syntaxin,pfam,domain,IPR006011,-,-,O14662,325
PF00200,Disintegrin,pfam,domain,IPR001762,-,-,O14672,748
PF13574,Metallo-peptidase family M12B Reprolysin-like,pfam,domain,-,-,-,O14672,748
PF21299,"ADAM10, cysteine-rich domain",pfam,domain,IPR049038,-,-,O14672,748
PF00069,Protein kinase domain,pfam,domain,IPR000719,-,-,O14733,419
PF02551,Acyl-CoA thioesterase,pfam,domain,IPR025652,-,-,O14734,319
PF13622,Acyl-CoA thioesterase N-terminal domain,pfam,domain,IPR049449,-,-,O14734,319
PF05185,PRMT5 arginine-N-methyltransferase,pfam,domain,IPR035075,-,-,O14744,637
PF17285,PRMT5 TIM barrel domain,pfam,domain,IPR035247,-,-,O14744,637
PF17286,PRMT5 oligomerisation domain,pfam,domain,IPR035248,-,-,O14744,637
PF00595,PDZ domain,pfam,domain,IPR001478,-,-,O14745,358
PF09007,"EBP50, C-terminal",pfam,domain,IPR015098,-,-,O14745,358
PF00082,Subtilase family,pfam,domain,IPR000209,-,-,O14773,563
PF09286,"Pro-kumamolisin, activation domain",pfam,domain,IPR015366,-,-,O14773,563
PF00397,WW domain,pfam,domain,IPR001202,-,-,O14776,1098
PF00431,CUB domain,pfam,domain,IPR000859,-,-,O14786,923
PF00629,"MAM domain, meprin/A5/mu",pfam,domain,IPR000998,-,-,O14786,923
PF00754,F5/8 type C domain,pfam,domain,IPR000421,-,-,O14786,923
PF14554,VEGF heparin-binding domain,pfam,domain,IPR027928,-,-,O14786,923
PF00071,Ras family,pfam,domain,IPR001806,-,-,O14807,208
PF00227,Proteasome subunit,pfam,domain,IPR001353,-,-,O14818,248
PF00169,PH domain,pfam,domain,IPR001849,-,-,O14827,1237
PF00618,RasGEF N-terminal motif,pfam,domain,IPR000651,-,-,O14827,1237
PF00621,RhoGEF domain,pfam,domain,IPR000219,-,-,O14827,1237
PF00149,Calcineurin-like phosphoesterase,pfam,domain,IPR004843,-,-,O14829,653
PF13499,EF-hand domain pair,pfam,domain,IPR002048,-,-,O14829,653
PF19278,Hydantoinase/oxoprolinase C-terminal domain,pfam,domain,IPR049517,-,-,O14841,1288
PF02518,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",pfam,domain,IPR003594,-,-,O14874,412
PF00595,PDZ domain,pfam,domain,IPR001478,-,-,O14907,124
PF00595,PDZ domain,pfam,domain,IPR001478,-,-,O14908,333
PF00595,PDZ domain,pfam,domain,IPR001478,-,-,O14910,233
PF02828,L27 domain,pfam,domain,IPR014775,-,-,O14910,233
PF00028,Cadherin domain,pfam,domain,IPR002126,-,-,O14917,1159
PF08266,Cadherin-like,pfam,domain,IPR013164,-,-,O14917,1159
PF00069,Protein kinase domain,pfam,domain,IPR000719,-,-,O14920,756
PF12179,I-kappa-kinase-beta NEMO binding domain,pfam,domain,IPR022007,-,-,O14920,756
PF18397,IQBAL scaffold dimerization domain,pfam,domain,IPR041185,-,-,O14920,756
PF00595,PDZ domain,pfam,domain,IPR001478,-,-,O14924,1447
PF00615,Regulator of G protein signaling domain,pfam,domain,IPR016137,-,-,O14924,1447
PF02196,Raf-like Ras-binding domain,pfam,domain,IPR003116,-,-,O14924,1447
PF00179,Ubiquitin-conjugating enzyme,pfam,domain,IPR000608,-,-,O14933,153
PF00069,Protein kinase domain,pfam,domain,IPR000719,-,-,O14936,926
PF00595,PDZ domain,pfam,domain,IPR001478,-,-,O14936,926
PF00625,Guanylate kinase,pfam,domain,IPR008145,-,-,O14936,926
PF02828,L27 domain,pfam,domain,IPR014775,-,-,O14936,926
PF07653,Variant SH3 domain,pfam,domain,IPR001452,-,-,O14936,926
PF00787,PX domain,pfam,domain,IPR001683,-,-,O14939,933
PF13091,PLD-like domain,pfam,domain,IPR025202,-,-,O14939,933
PF08976,EF-hand domain,pfam,domain,IPR015070,-,-,O14950,172
PF13499,EF-hand domain pair,pfam,domain,IPR002048,-,-,O14950,172
PF01363,FYVE zinc finger,pfam,domain,IPR000306,-,-,O14964,777
PF12210,Hepatocyte growth factor-regulated tyrosine kinase substrate,pfam,domain,IPR024641,-,-,O14964,777
PF00071,Ras family,pfam,domain,IPR001806,-,-,O14966,203
PF13193,AMP-binding enzyme C-terminal domain,pfam,domain,IPR025110,-,-,O14975,620
PF00069,Protein kinase domain,pfam,domain,IPR000719,-,-,O14976,1311
PF10409,C2 domain of PTEN tumour-suppressor protein,pfam,domain,IPR014020,-,-,O14976,1311
PF00076,RNA recognition motif,pfam,domain,IPR000504,-,-,O14979,420
PF02078,"Synapsin, N-terminal domain",pfam,domain,IPR020897,-,-,O14994,580
PF02750,"Synapsin, ATP binding domain",pfam,domain,IPR020898,-,-,O14994,580
PF10581,Synapsin N-terminal,pfam,domain,IPR019736,-,-,O14994,580
PF01833,IPT/TIG domain,pfam,domain,IPR002909,-,-,O15031,1838
PF08337,Plexin cytoplasmic RasGAP domain,pfam,domain,IPR013548,-,-,O15031,1838
PF17960,TIG domain,pfam,domain,IPR041019,-,-,O15031,1838
PF20170,Plexin cytoplasmic RhoGTPase-binding domain,pfam,domain,IPR046800,-,-,O15031,1838
PF07653,Variant SH3 domain,pfam,domain,IPR001452,-,-,O15034,1052
PF14604,Variant SH3 domain,pfam,domain,IPR001452,-,-,O15034,1052
PF00076,RNA recognition motif,pfam,domain,IPR000504,-,-,O15042,1029
PF08312,cwf21 domain,pfam,domain,IPR013170,-,-,O15042,1029
PF08952,Domain of unknown function (DUF1866),pfam,domain,IPR015047,-,-,O15056,1496
PF00225,Kinesin motor domain,pfam,domain,IPR001752,-,-,O15066,747
PF02769,"AIR synthase related protein, C-terminal domain",pfam,domain,IPR010918,-,-,O15067,1338
PF13507,CobB/CobQ-like glutamine amidotransferase domain,pfam,domain,-,-,-,O15067,1338
PF18072,Formylglycinamide ribonucleotide amidotransferase linker domain,pfam,domain,IPR041609,-,-,O15067,1338
PF18076,Formylglycinamide ribonucleotide amidotransferase N-terminal,pfam,domain,IPR040707,-,-,O15067,1338
PF00169,PH domain,pfam,domain,IPR001849,-,-,O15068,1137
PF00435,Spectrin repeat,pfam,domain,IPR002017,-,-,O15068,1137
PF00621,RhoGEF domain,pfam,domain,IPR000219,-,-,O15068,1137
PF07653,Variant SH3 domain,pfam,domain,IPR001452,-,-,O15068,1137
PF13716,Divergent CRAL/TRIO domain,pfam,domain,IPR001251,-,-,O15068,1137
PF19026,HYPK UBA domain,pfam,domain,IPR044034,-,-,O15069,1562
PF00069,Protein kinase domain,pfam,domain,IPR000719,-,-,O15075,740
PF00595,PDZ domain,pfam,domain,IPR001478,-,-,O15085,1522
PF00621,RhoGEF domain,pfam,domain,IPR000219,-,-,O15085,1522
PF09128,Regulator of G protein signalling-like domain,pfam,domain,IPR015212,-,-,O15085,1522
PF17838,PH domain,pfam,domain,IPR041020,-,-,O15085,1522
PF16953,Protein-only RNase P,pfam,domain,IPR031595,-,-,O15091,583
PF00069,Protein kinase domain,pfam,domain,IPR000719,-,-,O15111,745
PF12179,I-kappa-kinase-beta NEMO binding domain,pfam,domain,IPR022007,-,-,O15111,745
PF18397,IQBAL scaffold dimerization domain,pfam,domain,IPR041185,-,-,O15111,745
PF01423,LSM domain,pfam,domain,IPR001163,-,-,O15116,133
PF16414,Niemann-Pick C1 N terminus,pfam,domain,IPR032190,-,-,O15118,1278
PF00487,Fatty acid desaturase,pfam,domain,IPR005804,-,-,O15121,323
PF08557,Sphingolipid Delta4-desaturase (DES),pfam,domain,IPR013866,-,-,O15121,323
PF00173,Cytochrome b5-like Heme/Steroid binding domain,pfam,domain,IPR001199,-,-,O15173,223
PF00041,Fibronectin type III domain,pfam,domain,IPR003961,-,-,O15197,1021
PF01404,Ephrin receptor ligand binding domain,pfam,domain,IPR001090,-,-,O15197,1021
PF07647,SAM domain (Sterile alpha motif),pfam,domain,IPR001660,-,-,O15197,1021
PF07699,Tyrosine-protein kinase ephrin type A/B receptor-like,pfam,domain,IPR011641,-,-,O15197,1021
PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,-,-,O15197,1021
PF14575,Ephrin type-A receptor 2 transmembrane domain,pfam,domain,IPR027936,-,-,O15197,1021
PF02798,"Glutathione S-transferase, N-terminal domain",pfam,domain,IPR004045,-,-,O15217,222
PF14497,"Glutathione S-transferase, C-terminal domain",pfam,domain,IPR004046,-,-,O15217,222
PF02770,"Acyl-CoA dehydrogenase, middle domain",pfam,domain,IPR006091,-,-,O15254,700
PF00155,Aminotransferase class I and II,pfam,domain,IPR004839,-,-,O15269,473
PF00155,Aminotransferase class I and II,pfam,domain,IPR004839,-,-,O15270,562
PF00505,HMG (high mobility group) box,pfam,domain,IPR009071,-,-,O15347,200
PF09011,HMG-box domain,pfam,domain,IPR009071,-,-,O15347,200
PF00017,SH2 domain,pfam,domain,IPR000980,-,-,O15357,1258
PF00536,SAM domain (Sterile alpha motif),pfam,domain,IPR001660,-,-,O15357,1258
PF01063,Amino-transferase class IV,pfam,domain,IPR001544,-,-,O15382,392
PF00041,Fibronectin type III domain,pfam,domain,IPR003961,-,-,O15394,837
PF07679,Immunoglobulin I-set domain,pfam,domain,IPR013098,-,-,O15394,837
PF13927,Immunoglobulin domain,pfam,domain,-,-,-,O15394,837
PF14523,Syntaxin-like protein,pfam,domain,IPR006011,-,-,O15400,261
PF00168,C2 domain,pfam,domain,IPR000008,-,-,O15484,640
PF01067,"Calpain large subunit, domain III",pfam,domain,IPR022682,-,-,O15484,640
PF13774,Regulated-SNARE-like domain,pfam,domain,IPR010908,-,-,O15498,198
PF04699,ARP2/3 complex 16 kDa subunit (p16-Arc),pfam,domain,IPR006789,-,-,O15511,151
PF00069,Protein kinase domain,pfam,domain,IPR000719,-,-,O15530,556
PF14593,PH domain,pfam,domain,IPR033931,-,-,O15530,556
PF00061,Lipocalin / cytosolic fatty-acid binding protein family,pfam,domain,IPR000566,-,-,O15540,132
PF00270,DEAD/DEAH box helicase,pfam,domain,IPR011545,-,-,O43143,795
PF00271,Helicase conserved C-terminal domain,pfam,domain,IPR001650,-,-,O43143,795
PF04408,"Helicase associated domain (HA2), winged-helix",pfam,domain,IPR048333,-,-,O43143,795
PF07717,Oligonucleotide/oligosaccharide-binding (OB)-fold,pfam,domain,IPR011709,-,-,O43143,795
PF21010,"Helicase associated domain (HA2), ratchet-like",pfam,domain,-,-,-,O43143,795
PF03291,mRNA (guanine-N(7))-methyltransferase domain,pfam,domain,IPR004971,-,-,O43148,476
PF00169,PH domain,pfam,domain,IPR001849,-,-,O43150,1006
PF01412,Putative GTPase activating protein for Arf,pfam,domain,IPR001164,-,-,O43150,1006
PF14604,Variant SH3 domain,pfam,domain,IPR001452,-,-,O43150,1006
PF16746,BAR domain of APPL family,pfam,domain,IPR004148,-,-,O43150,1006
PF00041,Fibronectin type III domain,pfam,domain,IPR003961,-,-,O43155,660
PF13639,Ring finger domain,pfam,domain,IPR001841,-,-,O43164,708
PF00595,PDZ domain,pfam,domain,IPR001478,-,-,O43166,1804
PF21022,Rap/Ran-GAP protein dimerization domain,pfam,domain,-,-,-,O43166,1804
PF00173,Cytochrome b5-like Heme/Steroid binding domain,pfam,domain,IPR001199,-,-,O43169,150
PF08799,pre-mRNA processing factor 4 (PRP4) like,pfam,domain,IPR014906,-,-,O43172,522
PF00389,"D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain",pfam,domain,IPR006139,-,-,O43175,533
PF02826,"D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain",pfam,domain,IPR006140,-,-,O43175,533
PF19304,D-3-phosphoglycerate dehydrogenase intervening domain,pfam,domain,IPR045626,-,-,O43175,533
PF00735,Septin,pfam,domain,IPR030379,-,-,O43236,478
PF01399,PCI domain,pfam,domain,IPR000717,-,-,O43242,534
PF00076,RNA recognition motif,pfam,domain,IPR000504,-,-,O43251,390
PF01583,Adenylylsulphate kinase,pfam,domain,-,-,-,O43252,624
PF01747,ATP-sulfurylase,pfam,domain,IPR024951,-,-,O43252,624
PF14306,PUA-like domain,pfam,domain,IPR025980,-,-,O43252,624
PF01353,Green fluorescent protein,pfam,domain,IPR011584,-,-,O43292,621
PF00412,LIM domain,pfam,domain,IPR001781,-,-,O43294,461
PF00018,SH3 domain,pfam,domain,IPR001452,-,-,O43295,1099
PF00620,RhoGAP domain,pfam,domain,IPR000198,-,-,O43295,1099
PF00169,PH domain,pfam,domain,IPR001849,-,-,O43307,516
PF00621,RhoGEF domain,pfam,domain,IPR000219,-,-,O43307,516
PF07653,Variant SH3 domain,pfam,domain,IPR001452,-,-,O43307,516
PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,-,-,O43318,606
PF00043,"Glutathione S-transferase, C-terminal domain",pfam,domain,IPR004046,-,-,O43324,174
PF00076,RNA recognition motif,pfam,domain,IPR000504,-,-,O43390,633
PF18360,Heterogeneous nuclear ribonucleoprotein Q acidic domain,pfam,domain,IPR041337,-,-,O43390,633
PF00085,Thioredoxin,pfam,domain,IPR013766,-,-,O43396,289
PF06201,PITH domain,pfam,domain,IPR010400,-,-,O43396,289
PF00092,von Willebrand factor type A domain,pfam,domain,IPR002035,-,-,O43405,550
PF03815,LCCL domain,pfam,domain,IPR004043,-,-,O43405,550
PF08952,Domain of unknown function (DUF1866),pfam,domain,IPR015047,-,-,O43426,1573
PF00160,Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD,pfam,domain,IPR002130,-,-,O43447,177
PF13365,Trypsin-like peptidase domain,pfam,domain,-,-,-,O43464,458
PF17820,PDZ domain,pfam,domain,IPR041489,-,-,O43464,458
PF00248,Aldo/keto reductase family,pfam,domain,IPR023210,-,-,O43488,359
PF00373,FERM central domain,pfam,domain,IPR019748,-,-,O43491,1005
PF05902,4.1 protein C-terminal domain (CTD),pfam,domain,IPR008379,-,-,O43491,1005
PF09379,FERM N-terminal domain,pfam,domain,IPR018979,-,-,O43491,1005
PF09380,FERM C-terminal PH-like domain,pfam,domain,IPR018980,-,-,O43491,1005
PF16672,Ragulator complex protein LAMTOR5,pfam,domain,IPR024135,-,-,O43504,91
PF13896,Glycosyl-transferase for dystroglycan,pfam,domain,-,-,-,O43505,415
PF00615,Regulator of G protein signaling domain,pfam,domain,IPR016137,-,-,O43566,566
PF02196,Raf-like Ras-binding domain,pfam,domain,IPR003116,-,-,O43566,566
PF00615,Regulator of G protein signaling domain,pfam,domain,IPR016137,-,-,O43572,662
PF00168,C2 domain,pfam,domain,IPR000008,-,-,O43581,403
PF01253,Translation initiation factor SUI1,pfam,domain,IPR001950,-,-,O43583,198
PF21023,"DENR, N-terminal",pfam,domain,IPR048517,-,-,O43583,198
PF05014,Nucleoside 2-deoxyribosyltransferase,pfam,domain,IPR007710,-,-,O43598,174
PF04280,Tim44-like domain,pfam,domain,IPR007379,-,-,O43615,452
PF00017,SH2 domain,pfam,domain,IPR000980,-,-,O43639,380
PF00018,SH3 domain,pfam,domain,IPR001452,-,-,O43639,380
PF14604,Variant SH3 domain,pfam,domain,IPR001452,-,-,O43639,380
PF00615,Regulator of G protein signaling domain,pfam,domain,IPR016137,-,-,O43665,181
PF05047,Mitochondrial ribosomal protein L51 / S25 / CI-B8 domain,pfam,domain,IPR007741,-,-,O43678,99
PF02374,Anion-transporting ATPase,pfam,domain,IPR025723,-,-,O43681,348
PF00307,Calponin homology (CH) domain,pfam,domain,IPR001715,-,-,O43707,911
PF00435,Spectrin repeat,pfam,domain,IPR002017,-,-,O43707,911
PF08726,Ca2+ insensitive EF hand,pfam,domain,IPR014837,-,-,O43707,911
PF13409,"Glutathione S-transferase, N-terminal domain",pfam,domain,IPR004045,-,-,O43708,216
PF14497,"Glutathione S-transferase, C-terminal domain",pfam,domain,IPR004046,-,-,O43708,216
PF00076,RNA recognition motif,pfam,domain,IPR000504,-,-,O43719,755
PF00169,PH domain,pfam,domain,IPR001849,-,-,O43739,400
PF01369,Sec7 domain,pfam,domain,IPR000904,-,-,O43739,400
PF02883,Adaptin C-terminal domain,pfam,domain,IPR008152,-,-,O43747,822
PF09177,"Syntaxin 6, N-terminal",pfam,domain,IPR015260,-,-,O43752,255
PF01284,Membrane-associating domain,pfam,domain,IPR008253,-,-,O43759,233
PF01284,Membrane-associating domain,pfam,domain,IPR008253,-,-,O43760,224
PF01284,Membrane-associating domain,pfam,domain,IPR008253,-,-,O43761,229
PF16546,Homodimerisation domain of SGTA,pfam,domain,IPR032374,-,-,O43765,313
PF00152,"tRNA synthetases class II (D, K and N)",pfam,domain,IPR004364,-,-,O43776,548
PF01336,OB-fold nucleic acid binding domain,pfam,domain,IPR004365,-,-,O43776,548
PF20917,"Asparaginal-tRNA synthetase, N-terminal domain",pfam,domain,IPR048952,-,-,O43776,548
PF00063,Myosin head (motor domain),pfam,domain,IPR001609,-,-,O43795,1136
PF06017,"Unconventional myosin tail, actin- and lipid-binding",pfam,domain,IPR010926,-,-,O43795,1136
PF13869,Nucleotide hydrolase,pfam,domain,IPR016706,-,-,O43809,227
PF00180,Isocitrate/isopropylmalate dehydrogenase,pfam,domain,IPR024084,-,-,O43837,385
PF05193,Peptidase M16 inactive domain,pfam,domain,IPR007863,-,-,O43847,1151
PF13202,EF hand,pfam,domain,IPR002048,-,-,O43852,315
PF00008,EGF-like domain,pfam,domain,IPR000742,-,-,O43854,480
PF00754,F5/8 type C domain,pfam,domain,IPR000421,-,-,O43854,480
PF12661,Human growth factor-like EGF,pfam,domain,IPR013032,-,-,O43854,480
PF00670,"S-adenosyl-L-homocysteine hydrolase, NAD binding domain",pfam,domain,IPR015878,-,-,O43865,530
PF05221,S-adenosyl-L-homocysteine hydrolase,pfam,domain,IPR000043,-,-,O43865,530
PF02953,Tim10/DDP family zinc finger,pfam,domain,IPR004217,-,-,O60220,97
PF00090,Thrombospondin type 1 domain,pfam,domain,IPR000884,-,-,O60241,1585
PF16489,GPCR-Autoproteolysis INducing (GAIN) domain,pfam,domain,IPR032471,-,-,O60241,1585
PF00090,Thrombospondin type 1 domain,pfam,domain,IPR000884,-,-,O60242,1522
PF16489,GPCR-Autoproteolysis INducing (GAIN) domain,pfam,domain,IPR032471,-,-,O60242,1522
PF00028,Cadherin domain,pfam,domain,IPR002126,-,-,O60245,1069
PF08266,Cadherin-like,pfam,domain,IPR013164,-,-,O60245,1069
PF13793,N-terminal domain of ribose phosphate pyrophosphokinase,pfam,domain,IPR029099,-,-,O60256,369
PF14572,Phosphoribosyl synthetase-associated domain,pfam,domain,IPR005946,-,-,O60256,369
PF00240,Ubiquitin family,pfam,domain,IPR000626,-,-,O60260,465
PF01485,"IBR domain, a half RING-finger domain",pfam,domain,IPR002867,-,-,O60260,465
PF17976,RING/Ubox like zinc-binding domain,pfam,domain,IPR041565,-,-,O60260,465
PF17978,RING/Ubox like zinc-binding domain,pfam,domain,IPR041170,-,-,O60260,465
PF00631,GGL domain,pfam,domain,IPR015898,-,-,O60262,68
PF00176,SNF2-related domain,pfam,domain,IPR000330,-,-,O60264,1052
PF00271,Helicase conserved C-terminal domain,pfam,domain,IPR001650,-,-,O60264,1052
PF09110,HAND,pfam,domain,IPR015194,-,-,O60264,1052
PF09111,SLIDE,pfam,domain,IPR015195,-,-,O60264,1052
PF00193,Extracellular link domain,pfam,domain,IPR000538,-,-,O60279,629
PF00225,Kinesin motor domain,pfam,domain,IPR001752,-,-,O60282,957
PF00069,Protein kinase domain,pfam,domain,IPR000719,-,-,O60285,661
PF13920,"Zinc finger, C3HC4 type (RING finger)",pfam,domain,-,-,-,O60291,552
PF00069,Protein kinase domain,pfam,domain,IPR000719,-,-,O60307,1309
PF08926,Domain of unknown function (DUF1908),pfam,domain,IPR015022,-,-,O60307,1309
PF17820,PDZ domain,pfam,domain,IPR041489,-,-,O60307,1309
PF00350,Dynamin family,pfam,domain,IPR045063,-,-,O60313,960
PF19434,Dynamin-like GTPase OPA1 C-terminal,pfam,domain,IPR045817,-,-,O60313,960
PF01593,Flavin containing amine oxidoreductase,pfam,domain,IPR002937,-,-,O60341,852
PF04433,SWIRM domain,pfam,domain,IPR007526,-,-,O60341,852
PF00640,Phosphotyrosine interaction domain (PTB/PID),pfam,domain,IPR006020,-,-,O60343,1298
PF00169,PH domain,pfam,domain,IPR001849,-,-,O60346,1717
PF04598,Gasdermin pore forming domain,pfam,domain,IPR040460,-,-,O60443,496
PF17708,Gasdermin PUB domain,pfam,domain,IPR041263,-,-,O60443,496
PF00431,CUB domain,pfam,domain,IPR000859,-,-,O60462,931
PF00629,"MAM domain, meprin/A5/mu",pfam,domain,IPR000998,-,-,O60462,931
PF00754,F5/8 type C domain,pfam,domain,IPR000421,-,-,O60462,931
PF01823,MAC/Perforin domain,pfam,domain,IPR020864,-,-,O60477,761
PF01833,IPT/TIG domain,pfam,domain,IPR002909,-,-,O60486,1568
PF08337,Plexin cytoplasmic RasGAP domain,pfam,domain,IPR013548,-,-,O60486,1568
PF20170,Plexin cytoplasmic RhoGTPase-binding domain,pfam,domain,IPR046800,-,-,O60486,1568
PF00787,PX domain,pfam,domain,IPR001683,-,-,O60493,162
PF00211,Adenylate and Guanylate cyclase catalytic domain,pfam,domain,IPR001054,-,-,O60503,1353
PF00018,SH3 domain,pfam,domain,IPR001452,-,-,O60504,671
PF14604,Variant SH3 domain,pfam,domain,IPR001452,-,-,O60504,671
PF00076,RNA recognition motif,pfam,domain,IPR000504,-,-,O60506,623
PF18360,Heterogeneous nuclear ribonucleoprotein Q acidic domain,pfam,domain,IPR041337,-,-,O60506,623
PF05670,NFACT protein RNA binding domain,pfam,domain,IPR008532,-,-,O60524,1076
PF11923,NFACT protein C-terminal domain,pfam,domain,IPR021846,-,-,O60524,1076
PF16363,"GDP-mannose 4,6 dehydratase",pfam,domain,IPR016040,-,-,O60547,372
PF01233,"Myristoyl-CoA:protein N-myristoyltransferase, N-terminal domain",pfam,domain,IPR022676,-,-,O60551,498
PF02799,"Myristoyl-CoA:protein N-myristoyltransferase, C-terminal domain",pfam,domain,IPR022677,-,-,O60551,498
PF01652,Eukaryotic initiation factor 4E,pfam,domain,IPR001040,-,-,O60573,245
PF21137,"Protein arginine N-methyltransferase 3, C2H2 zinc finger domain",pfam,domain,IPR049482,-,-,O60678,531
PF21336,"Protein arginine N-methyltransferase 3, C2H2 zinc finger",pfam,domain,IPR049009,-,-,O60678,531
PF00984,"UDP-glucose/GDP-mannose dehydrogenase family, central domain",pfam,domain,IPR014026,-,-,O60701,494
PF03720,"UDP-glucose/GDP-mannose dehydrogenase family, UDP binding domain",pfam,domain,IPR014027,-,-,O60701,494
PF03721,"UDP-glucose/GDP-mannose dehydrogenase family, NAD binding domain",pfam,domain,IPR001732,-,-,O60701,494
PF00027,Cyclic nucleotide-binding domain,pfam,domain,IPR000595,-,-,O60741,890
PF00787,PX domain,pfam,domain,IPR001683,-,-,O60749,519
PF09325,Vps5 C terminal like,pfam,domain,IPR015404,-,-,O60749,519
PF03127,GAT domain,pfam,domain,IPR004152,-,-,O60784,492
PF00300,Histidine phosphatase superfamily (branch 1),pfam,domain,IPR013078,-,-,O60825,505
PF01591,6-phosphofructo-2-kinase,pfam,domain,IPR013079,-,-,O60825,505
PF21674,CCDC22 protein N-terminal domain,pfam,domain,IPR048349,-,-,O60826,627
